iter	Passed	Remaining
698	67488	19406
699	67582	19309
700	67674	19211
701	67763	19112
702	67859	19016
703	67961	18921
704	68042	18820
705	68124	18719
706	68224	18624
707	68310	18524
708	68405	18428
709	68501	18331
710	68588	18232
711	68671	18132
712	68764	18035
713	68867	17940
714	68967	17844
715	69063	17748
716	69152	17649
717	69250	17553
718	69356	17459
719	69450	17362
720	69539	17264
721	69635	17167
722	69720	17068
723	69818	16972
724	69916	16876
725	70016	16780
726	70108	16683
727	70205	16586
728	70313	16493
729	70401	16394
730	70497	16298
731	70591	16201
732	70685	16104
733	70782	16008
734	70867	15909
735	70954	15810
736	71049	15713
737	71140	15616
738	71219	15516
739	71312	15419
740	71404	15321
741	71500	15225
742	71598	15129
743	71681	15029
744	71766	14931
745	71855	14833
746	71943	14735
747	72034	14637
748	72127	14541
749	72217	14443
750	72328	14350
751	72425	14253
752	72514	14156
753	72611	14060
754	72696	13961
755	72798	13866
756	72902	13771
757	73001	13675
758	73103	13580
759	73203	13484
760	73302	13388
761	73435	13299
762	73560	13208
763	73651	13110
764	73734	13011
765	73827	12915
766	73914	12817
767	74017	12721
768	74114	12625
769	74203	12527
770	74296	12430
771	74452	12344
772	74556	12249
773	74649	12152
774	74746	12055
775	74831	11957
776	74921	11860
777	75013	11763
778	75098	11664
779	75183	11566
780	75284	11470
781	75376	11373
782	75467	11276
783	75561	11180
784	75656	11083
785	75767	10989
786	75873	10894
787	75987	10800
788	76105	10706
789	76203	10610
790	76300	10514
791	76392	10417
792	76495	10321
793	76594	10225
794	76676	10127
795	76765	10029
796	76858	9932
797	76953	9836
798	77048	9739
799	77145	9643
800	77251	9547
801	77343	9450
802	77437	9354
803	77534	9257
804	77625	9160
805	77719	9064
806	77805	8966
807	77916	8871
808	78012	8775
809	78102	8678
810	78212	8583
811	78296	8485
812	78393	8388
813	78492	8292
814	78588	8196
815	78691	8100
816	78784	8003
817	78879	7907
818	78969	7810
819	79054	7712
820	79158	7616
821	79269	7521
822	79375	7426
823	79468	7329
824	79556	7232
825	79643	7135
826	79749	7039
827	79840	6942
828	79955	6847
829	80050	6751
830	80152	6655
831	80246	6558
832	80335	6461
833	80427	6364
834	80515	6267
835	80616	6171
836	80707	6074
837	80812	5979
838	80918	5883
839	81014	5786
840	81129	5691
841	81232	5595
842	81345	5500
843	81440	5403
844	81549	5307
845	81638	5210
846	81739	5114
847	81829	5017
848	81925	4921
849	82030	4825
850	82136	4729
851	82242	4633
852	82330	4536
853	82417	4439
854	82505	4342
855	82604	4246
856	82701	4149
857	82801	4053
858	82894	3956
859	82991	3860
860	83101	3764
861	83209	3668
862	83304	3571
863	83392	3474
864	83488	3378
865	83594	3281
866	83691	3185
867	83813	3089
868	83916	2993
869	84009	2896
870	84108	2800
871	84196	2703
